x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
541.9288,1125.3259,727.04846,1284.2245,7,0.34870228,,truck
543.703,1127.8195,730.9276,1276.7242,5,0.34313187,,bus
1501.7666,1049.6694,1665.5186,1150.6023,5,0.27949408,,bus
483.12946,1943.2562,982.5729,2155.4849,2,0.25884417,,car
2339.2214,1469.4415,2556.4841,1680.0359,2,0.78729975,,car
2424.134,1160.762,2627.91,1334.8763,7,0.6747287,,truck
1789.4236,1198.7068,1873.0427,1261.1062,2,0.59145474,,car
1898.3098,1200.2249,1991.2157,1257.4365,2,0.47749385,,car
541.9827,1125.4,726.9667,1283.9825,7,0.35492077,,truck
543.78827,1127.8976,730.8406,1276.4199,5,0.35331565,,bus
2199.5244,1199.112,2302.9675,1328.4464,2,0.3295625,,car
1503.2659,1049.9725,1656.2406,1150.508,5,0.2798906,,bus
1905.5889,1189.7957,2005.9995,1252.9495,2,0.27269104,,car
1914.1799,1171.2727,2006.7064,1228.8871,2,0.2534328,,car
2342.3914,1466.454,2544.0378,1664.629,2,0.66732323,,car
1785.5035,1204.5198,1871.413,1266.8782,2,0.6585544,,car
1901.1229,1201.6195,1983.7665,1260.8318,2,0.6117381,,car
2421.434,1162.3567,2622.5332,1334.1903,7,0.47556645,,truck
542.4585,1126.4811,730.768,1282.233,7,0.35023326,,truck
543.0334,1127.405,731.45514,1278.123,5,0.3275812,,bus
2196.5078,1199.8953,2303.174,1325.4342,5,0.25221348,,bus
1511.846,1051.6796,1646.0505,1150.4188,5,0.2516718,,bus
2338.1047,1460.3569,2537.5842,1655.8608,2,0.6931628,,car
1898.0035,1203.7098,1987.6428,1265.8531,2,0.6374524,,car
1781.8745,1205.3256,1863.8464,1270.0863,2,0.6084951,,car
2423.1936,1163.662,2621.121,1330.2483,7,0.5332621,,truck
541.16205,1125.2653,728.2281,1285.4825,7,0.343315,,truck
543.2055,1127.4214,731.4307,1278.0952,5,0.33521795,,bus
2196.6262,1193.8159,2301.501,1322.4929,5,0.2590603,,bus
1512.4314,1051.3708,1646.0837,1150.2595,5,0.25067028,,bus
2338.4336,1450.4628,2537.5366,1644.2462,2,0.6999933,,car
1778.0253,1209.1692,1862.171,1271.7078,2,0.68382055,,car
1896.5531,1199.7928,1989.2433,1264.4148,2,0.63207275,,car
2422.4333,1162.025,2614.7798,1327.0503,7,0.53491,,truck
541.75635,1124.5049,727.8303,1284.2256,7,0.3478347,,truck
543.73285,1126.986,731.2065,1276.6593,5,0.32566336,,bus
2194.9797,1187.5055,2300.2734,1320.3785,5,0.28253302,,bus
1900.0719,1189.0746,2008.8688,1262.7825,2,0.2814257,,car
1510.2507,1051.1844,1649.3765,1150.618,5,0.26685265,,bus
2329.5654,1447.3712,2532.6938,1634.8947,2,0.7154895,,car
1777.8883,1209.1425,1855.532,1274.3035,2,0.67250574,,car
1893.2717,1210.1328,1978.4714,1267.8865,2,0.658766,,car
2422.8806,1163.1161,2615.9421,1324.8274,7,0.46363795,,truck
541.8077,1125.0111,728.17773,1284.6069,7,0.36139792,,truck
543.673,1127.5272,731.66364,1276.9537,5,0.34555024,,bus
2187.92,1192.3584,2299.5352,1319.1165,7,0.2586368,,truck
2319.864,1441.7134,2522.729,1626.9181,2,0.7456666,,car
2420.53,1163.5171,2614.8188,1326.5996,7,0.6839038,,truck
1775.9835,1215.9785,1848.2201,1278.7112,2,0.59973305,,car
1893.1415,1208.3358,1987.1581,1268.9302,2,0.5952189,,car
543.1322,1127.3965,731.7623,1278.4475,5,0.37206623,,bus
542.5257,1126.678,730.6177,1282.5396,7,0.35159668,,truck
2314.065,1438.5913,2518.445,1618.2928,2,0.80277985,,car
2415.5898,1163.686,2612.0715,1324.1144,7,0.6420966,,truck
1887.2312,1219.1683,1971.3085,1280.9525,2,0.6305327,,car
1773.6904,1219.7177,1843.269,1282.8312,2,0.62674046,,car
543.04266,1127.9385,731.835,1279.1243,5,0.36494753,,bus
542.54425,1127.2819,730.3288,1283.0139,7,0.35777122,,truck
2188.93,1202.3531,2290.8582,1317.7086,7,0.26971975,,truck
2309.7847,1430.1108,2515.3108,1608.6427,2,0.7705715,,car
2412.8323,1159.6556,2608.0525,1320.2216,7,0.74548906,,truck
1766.4543,1222.1671,1842.3955,1290.2747,2,0.7254874,,car
1885.0107,1213.8885,1976.3573,1284.9324,2,0.5905222,,car
2426.4536,1161.6174,2608.0103,1322.2632,5,0.47008044,,bus
2186.2517,1198.3033,2294.5015,1315.6194,2,0.45865735,,car
543.40814,1127.9279,731.5662,1278.1809,5,0.36593518,,bus
541.7609,1125.6724,728.0044,1285.3992,7,0.35393974,,truck
2308.8723,1428.1227,2504.9348,1600.9409,2,0.7504909,,car
1757.6389,1222.9641,1836.0278,1291.6569,2,0.73726517,,car
2413.203,1155.2936,2604.0486,1318.8789,7,0.7277981,,truck
1883.231,1218.6874,1978.2239,1288.9468,2,0.61368394,,car
541.94556,1125.2954,727.65186,1284.8668,7,0.35635906,,truck
543.5369,1127.7952,731.63873,1277.2478,5,0.33548963,,bus
2425.133,1159.3806,2604.4827,1318.4989,5,0.2945552,,bus
1513.2861,1051.7887,1642.4121,1150.2114,5,0.26184288,,bus
1754.4679,1229.2867,1836.461,1294.7374,2,0.7415327,,car
2410.1003,1156.9604,2603.1536,1319.6445,7,0.7386581,,truck
2307.917,1423.3271,2494.2554,1589.9509,2,0.70884305,,car
1880.3234,1223.7972,1974.6285,1294.0331,2,0.56651694,,car
543.16705,1127.9824,731.6767,1277.7968,5,0.38192505,,bus
541.68585,1125.5758,728.3313,1284.9882,7,0.34554347,,truck
2420.8618,1161.4076,2602.6094,1318.611,5,0.3264767,,bus
2186.6184,1193.7965,2293.311,1312.0094,2,0.27213255,,car
1742.9813,1233.4076,1832.5448,1302.7626,2,0.756069,,car
2306.0786,1422.0796,2492.1394,1585.1544,2,0.74313486,,car
2411.3154,1159.9559,2602.6533,1318.7032,7,0.63923275,,truck
1877.7334,1229.6171,1968.3933,1293.5392,2,0.49863502,,car
543.04254,1127.9585,731.34784,1278.4336,5,0.37144384,,bus
2188.471,1192.4713,2291.3345,1310.3492,2,0.35255614,,car
541.3643,1125.6802,728.3029,1285.5631,7,0.32430905,,truck
1733.7063,1240.0933,1827.4878,1307.4003,2,0.8342811,,car
2302.3982,1414.1302,2489.661,1577.8566,2,0.7450097,,car
2410.9385,1156.7177,2600.7002,1314.8699,7,0.70072365,,truck
1873.2511,1232.7744,1968.4974,1301.9392,2,0.5728294,,car
